Identificador,Frases de entrenamiento,Respuesta,Entities,Intents relacionadas,Notas
Modificar_cancelar,Quiero cancelar mi pedido,"¡Por supuesto!✍🏼 Para poder ayudarte necesito el número de pedido y qué quieres hacer (cancelar o cambiar). Si quieres cambiar, por favor, especifícame los cambios que desees (fecha, producto, decoración...). Dependiendo de la antelación puede haber algún cargo.",,,
,Me gustaría modificar la fecha de entrega,,,,
,Anular encargo,,,,
,Cambiar fecha,,,,
,Modificar dirección,,,,
,Cancelar tarta,,,,
,Ya no quiero las galletas,,,,
,Cancelar el pedido de cupcakes,,,,
,Cambiar detalles del pedido,,,,
Quejas,No me ha gustado el pedido,"Lo siento mucho😓 Lamento que haya habido un error en tu pedido. Por favor, dame tu número de envío para poder revisarlo cuanto antes. Si el fallo es grande te lo compensaremos con algún detalle a elegir entre: 5 galletas de regalo🍪, 3 cupcakes🧁 o un 15% de descuento en tu próxima tarta grande🎂.",,,
,El envío está mal,,,,
,El pedido venía mal,,,,
,Te has equivocado de pedido,,,,
,Ha habido un error con el envío,,,,
,Encargué 12 cupcakes pero tengo 9,,,,
,Pedí 20 galletas y me llegaron 10,,,,
,La tarta está incompleta,,,,
,Me faltan 2 cupcakes,,,,
,Ha llegado tarde,,,,
,El pedido llegó roto,,,,
,Quiero poner una queja,,,,
